Year,Total
2019_1,1449789.0
2019_2,1540527.0
2019_3,1532186.0
2019_4,1507646.0
2020_1,1459978.0
2020_2,1394707.0
2020_3,1524541.0
2020_4,1521336.0
2021_1,1502521.0
2021_2,1613348.0
2021_3,1621629.0
2021_4,1379415.0
2022_1,1388916.0
2022_2,1410604.0
2022_3,1421612.0
2022_4,1392043.0
